Date : 2026-08-25 12:11:23
Directory : m:\test\ESDBox_IPGUI
Total : 406 files,  412918 codes, 159011 comments, 34455 blanks, all 606384 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| m:\test\ESDBox_IPGUI\base\inc\ipgui_timer.h                                     | C        |         44 |         11 |          9 |         64 |
| m:\test\ESDBox_IPGUI\base\inc\ipgui_vector.h                                    | C        |         14 |          0 |         10 |         24 |
| m:\test\ESDBox_IPGUI\base\src\ipgui_avl.c                                       | C        |        345 |         43 |         29 |        417 |
| m:\test\ESDBox_IPGUI\base\src\ipgui_darray.c                                    | C        |        144 |         14 |         23 |        181 |
| m:\test\ESDBox_IPGUI\base\src\ipgui_debug.c                                     | C        |        213 |         12 |         22 |        247 |
| m:\test\ESDBox_IPGUI\base\src\ipgui_list.h                                      | C        |         17 |        402 |         47 |        466 |
| m:\test\ESDBox_IPGUI\base\src\ipgui_math.c                                      | C        |        168 |         20 |         20 |        208 |
| m:\test\ESDBox_IPGUI\base\src\ipgui_membox.c                                    | C        |         61 |          5 |         20 |         86 |
| m:\test\ESDBox_IPGUI\base\src\ipgui_memory.c                                    | C        |        425 |         36 |         96 |        557 |
| m:\test\ESDBox_IPGUI\base\src\ipgui_mempool.c                                   | C        |        246 |         32 |         60 |        338 |
| m:\test\ESDBox_IPGUI\base\src\ipgui_norm_queue.c                                | C        |         61 |         15 |         17 |         93 |
| m:\test\ESDBox_IPGUI\base\src\ipgui_queue.c                                     | C        |        253 |         17 |         64 |        334 |
| m:\test\ESDBox_IPGUI\base\src\ipgui_time.c                                      | C        |         37 |          3 |          9 |         49 |
| m:\test\ESDBox_IPGUI\base\src\ipgui_timer.c                                     | C        |        154 |         63 |         38 |        255 |
| m:\test\ESDBox_IPGUI\base\src\ipgui_vector.c                                    | C        |        197 |         18 |         31 |        246 |
| m:\test\ESDBox_IPGUI\core\composite\blend_color\ipgui_blend_color.c             | C        |        578 |        101 |        118 |        797 |
| m:\test\ESDBox_IPGUI\core\composite\blend_color\ipgui_blend_color.h             | C++      |         33 |          0 |          9 |         42 |
| m:\test\ESDBox_IPGUI\core\composite\blend_gradient\ipgui_blend_gradient_color.c | C        |        223 |         13 |         43 |        279 |
| m:\test\ESDBox_IPGUI\core\composite\blend_gradient\ipgui_blend_gradient_color.h | C++      |         36 |          0 |          7 |         43 |
| m:\test\ESDBox_IPGUI\core\composite\blend_image\ipgui_blend_image.c             | C        |      1,939 |         61 |        119 |      2,119 |
| m:\test\ESDBox_IPGUI\core\composite\blend_image\ipgui_blend_image.h             | C++      |         49 |         28 |         19 |         96 |
| m:\test\ESDBox_IPGUI\core\composite\ipgui_blend.c                               | C        |         50 |          0 |          1 |         51 |
| m:\test\ESDBox_IPGUI\core\composite\ipgui_blend.h                               | C++      |         34 |          3 |          9 |         46 |
| m:\test\ESDBox_IPGUI\core\composite\ipgui_blend_mode.h                          | C++      |          8 |          0 |          3 |         11 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_blur.c                                      | C        |        230 |         56 |         50 |        336 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_blur.h                                      | C        |         30 |          7 |         10 |         47 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_blur可视化.html                                | HTML     |        891 |          0 |         56 |        947 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_box_style.h                                 | C++      |         14 |          5 |          4 |         23 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_arc.c                                  | C        |        380 |         27 |         58 |        465 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_arc.h                                  | C++      |         40 |          0 |         11 |         51 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_background.c                       | C        |        199 |         26 |         35 |        260 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_background.h                       | C++      |         22 |          3 |          8 |         33 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_border.c                           | C        |        203 |         25 |         36 |        264 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_border.h                           | C++      |         23 |          0 |          6 |         29 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_shadow.c                           | C        |        237 |         73 |         42 |        352 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_box_shadow.h                           | C++      |         31 |         10 |          8 |         49 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_builtin_font.c                         | C        |        148 |         19 |         31 |        198 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_builtin_font.h                         | C++      |         63 |          6 |         14 |         83 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_filled_circle.c                        | C        |         27 |          0 |          3 |         30 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_filled_circle.h                        | C++      |         16 |          0 |          6 |         22 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_icon.c                                 | C        |        357 |         60 |         59 |        476 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_icon.h                                 | C++      |         21 |          9 |          7 |         37 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_icon_api.c                             | C        |        134 |          1 |         24 |        159 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_icon_api.h                             | C++      |         40 |         11 |          8 |         59 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image.c                                | C        |        549 |         97 |         82 |        728 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image.h                                | C++      |         34 |          5 |          8 |         47 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image_api.c                            | C        |        141 |          1 |         24 |        166 |
