"filename", "language", "Makefile", "C", "C++", "Ini", "CMake", "Markdown", "comment", "blank", "total"
"m:\test\ESDBox_IPGUI\core\misc\ipgui_lcd_pix_fmt.h", "C++", 0, 0, 14, 0, 0, 0, 11, 6, 31
"m:\test\ESDBox_IPGUI\core\misc\ipgui_line_clip.c", "C", 0, 106, 0, 0, 0, 0, 23, 16, 145
"m:\test\ESDBox_IPGUI\core\misc\ipgui_line_clip.h", "C++", 0, 0, 15, 0, 0, 0, 0, 4, 19
"m:\test\ESDBox_IPGUI\core\misc\ipgui_pattle.h", "C", 0, 541, 0, 0, 0, 0, 0, 5, 546
"m:\test\ESDBox_IPGUI\core\misc\ipgui_prim.c", "C", 0, 174, 0, 0, 0, 0, 27, 36, 237
"m:\test\ESDBox_IPGUI\core\misc\ipgui_prim.h", "C", 0, 93, 0, 0, 0, 0, 1, 24, 118
"m:\test\ESDBox_IPGUI\core\ui\test\test_dirty_rect..c", "C", 0, 260, 0, 0, 0, 0, 134, 47, 441
"m:\test\ESDBox_IPGUI\core\ui\test\test_widget_tree.c", "C", 0, 89, 0, 0, 0, 0, 1, 17, 107
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_dirty_rect.c", "C", 0, 193, 0, 0, 0, 0, 38, 25, 256
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_dirty_rect.h", "C++", 0, 0, 31, 0, 0, 0, 10, 8, 49
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget.c", "C", 0, 339, 0, 0, 0, 0, 115, 75, 529
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget.h", "C", 0, 101, 0, 0, 0, 0, 9, 29, 139
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_draw.c", "C", 0, 1, 0, 0, 0, 0, 5, 2, 8
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_draw.h", "C++", 0, 0, 5, 0, 0, 0, 0, 4, 9
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_event.c", "C", 0, 0, 0, 0, 0, 0, 33, 2, 35
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_evt.h", "C++", 0, 0, 33, 0, 0, 0, 4, 8, 45
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_geometry.c", "C", 0, 4, 0, 0, 0, 0, 9, 2, 15
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_geometry.h", "C++", 0, 0, 19, 0, 0, 0, 4, 6, 29
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_layout.c", "C", 0, 2, 0, 0, 0, 0, 17, 2, 21
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_ref.c", "C", 0, 0, 0, 0, 0, 0, 5, 0, 5
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_render.c", "C", 0, 29, 0, 0, 0, 0, 17, 15, 61
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_render.h", "C++", 0, 0, 5, 0, 0, 0, 0, 2, 7
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_state.c", "C", 0, 0, 0, 0, 0, 0, 235, 33, 268
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_state.h", "C++", 0, 0, 0, 0, 0, 0, 159, 30, 189
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_style.c", "C", 0, 0, 0, 0, 0, 0, 673, 57, 730
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_style.h", "C++", 0, 0, 7, 0, 0, 0, 319, 66, 392
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_temp.c", "C", 0, 10, 0, 0, 0, 0, 8, 5, 23
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_temp.h", "C++", 0, 0, 7, 0, 0, 0, 0, 4, 11
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_tree.c", "C", 0, 223, 0, 0, 0, 0, 37, 37, 297
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_tree.h", "C++", 0, 0, 31, 0, 0, 0, 0, 6, 37
"m:\test\ESDBox_IPGUI\core\vector_render\ipgui_curve.c", "C", 0, 115, 0, 0, 0, 0, 50, 28, 193
"m:\test\ESDBox_IPGUI\core\vector_render\ipgui_curve.h", "C", 0, 20, 0, 0, 0, 0, 0, 3, 23
"m:\test\ESDBox_IPGUI\core\vector_render\ipgui_path.c", "C", 0, 156, 0, 0, 0, 0, 268, 62, 486
"m:\test\ESDBox_IPGUI\core\vector_render\ipgui_path.h", "C", 0, 57, 0, 0, 0, 0, 12, 11, 80
"m:\test\ESDBox_IPGUI\core\vector_render\ipgui_stroker.c", "C", 0, 96, 0, 0, 0, 0, 48, 34, 178
"m:\test\ESDBox_IPGUI\core\vector_render\ipgui_stroker.h", "C", 0, 38, 0, 0, 0, 0, 23, 8, 69
"m:\test\ESDBox_IPGUI\core\vector_render\ipgui_transform.c", "C", 0, 151, 0, 0, 0, 0, 41, 38, 230
"m:\test\ESDBox_IPGUI\core\vector_render\ipgui_transform.h", "C", 0, 26, 0, 0, 0, 0, 0, 7, 33
"m:\test\ESDBox_IPGUI\examples\ipgui_widget_plane_and_traverse.c", "C", 0, 0, 0, 0, 0, 0, 38, 2, 40
"m:\test\ESDBox_IPGUI\examples\test_binary_heap.c", "C", 0, 44, 0, 0, 0, 0, 1, 1, 46
"m:\test\ESDBox_IPGUI\examples\test_darray.c", "C", 0, 48, 0, 0, 0, 0, 3, 1, 52
"m:\test\ESDBox_IPGUI\examples\test_hzk16_仿宋_点阵.c", "C", 0, 34, 0, 0, 0, 0, 3, 6, 43
"m:\test\ESDBox_IPGUI\examples\test_input_event.c", "C", 0, 33, 0, 0, 0, 0, 1, 3, 37
"m:\test\ESDBox_IPGUI\examples\test_membox.c", "C", 0, 15, 0, 0, 0, 0, 0, 1, 16
"m:\test\ESDBox_IPGUI\examples\test_memory.c", "C", 0, 97, 0, 0, 0, 0, 0, 23, 120
"m:\test\ESDBox_IPGUI\examples\test_prim.c", "C", 0, 19, 0, 0, 0, 0, 0, 0, 19
"m:\test\ESDBox_IPGUI\examples\test_queue.c", "C", 0, 47, 0, 0, 0, 0, 10, 2, 59
"m:\test\ESDBox_IPGUI\examples\test_timer.c", "C", 0, 45, 0, 0, 0, 0, 0, 6, 51
"m:\test\ESDBox_IPGUI\examples\test_vfs_windows.c", "C", 0, 21, 0, 0, 0, 0, 1, 0, 22
"m:\test\ESDBox_IPGUI\font\ipgui_quicksan.c", "C", 0, 1, 0, 0, 0, 0, 0, 0, 1
"m:\test\ESDBox_IPGUI\font\ipgui_ttf.c", "C", 0, 16, 0, 0, 0, 0, 1, 5, 22
"m:\test\ESDBox_IPGUI\font\ipgui_ttf.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\font\ipgui_typeface.c", "C", 0, 2, 0, 0, 0, 0, 0, 2, 4
"m:\test\ESDBox_IPGUI\font\ipgui_typeface.h", "C++", 0, 0, 38, 0, 0, 0, 4, 12, 54
"m:\test\ESDBox_IPGUI\font\ipgui_unicode_ex.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\font\opensans\open_sans.h", "C++", 0, 0, 50, 0, 0, 0, 0, 4, 54
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_10px.c", "C", 0, 2266, 0, 0, 0, 0, 1220, 262, 3748
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_11px.c", "C", 0, 2392, 0, 0, 0, 0, 1346, 262, 4000
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_12px.c", "C", 0, 2484, 0, 0, 0, 0, 1438, 262, 4184
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_13px.c", "C", 0, 2513, 0, 0, 0, 0, 1467, 262, 4242
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_14px.c", "C", 0, 2633, 0, 0, 0, 0, 1587, 262, 4482
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_15px.c", "C", 0, 2737, 0, 0, 0, 0, 1691, 262, 4690
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_16px.c", "C", 0, 2830, 0, 0, 0, 0, 1784, 262, 4876
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_17px.c", "C", 0, 2867, 0, 0, 0, 0, 1821, 262, 4950
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_18px.c", "C", 0, 2986, 0, 0, 0, 0, 1940, 262, 5188
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_19px.c", "C", 0, 3092, 0, 0, 0, 0, 2046, 262, 5400
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_20px.c", "C", 0, 3117, 0, 0, 0, 0, 2071, 262, 5450
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_21px.c", "C", 0, 3233, 0, 0, 0, 0, 2187, 262, 5682
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_22px.c", "C", 0, 3329, 0, 0, 0, 0, 2283, 262, 5874
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_23px.c", "C", 0, 3426, 0, 0, 0, 0, 2380, 262, 6068
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_24px.c", "C", 0, 3465, 0, 0, 0, 0, 2419, 262, 6146
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_25px.c", "C", 0, 3557, 0, 0, 0, 0, 2511, 262, 6330
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_26px.c", "C", 0, 3678, 0, 0, 0, 0, 2632, 262, 6572
"m:\test\ESDBox_IPGUI\font\opensans\open_sans_27px.c", "C", 0, 3687, 0, 0, 0, 0, 2641, 262, 6590
