"filename", "language", "Makefile", "XML", "C", "HTML", "C++", "Markdown", "Log", "Ini", "comment", "blank", "total"
"m:\test\ESDBox_IPGUI\core\ipgui_core.c", "C", 0, 0, 23, 0, 0, 0, 0, 0, 3, 6, 32
"m:\test\ESDBox_IPGUI\core\misc\ipgui_prim.c", "C", 0, 0, -20, 0, 0, 0, 0, 0, -13, -10, -43
"m:\test\ESDBox_IPGUI\core\misc\ipgui_prim.h", "C", 0, 0, -2, 0, 0, 0, 0, 0, 0, -1, -3
"m:\test\ESDBox_IPGUI\core\ui\animation\builtin_anim\ipgui_anim_bounce.c", "C", 0, 0, 27, 0, 0, 0, 0, 0, 13, 7, 47
"m:\test\ESDBox_IPGUI\core\ui\animation\builtin_anim\ipgui_anim_bounce.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 6, 4, 15
"m:\test\ESDBox_IPGUI\core\ui\animation\builtin_anim\ipgui_anim_ease.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\ui\animation\builtin_anim\ipgui_anim_liner.c", "C", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"m:\test\ESDBox_IPGUI\core\ui\animation\builtin_anim\ipgui_anim_liner.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 1, 4, 10
"m:\test\ESDBox_IPGUI\core\ui\animation\ipgui_anim_curve.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\ui\animation\ipgui_anim_curve.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"m:\test\ESDBox_IPGUI\core\ui\animation\ipgui_animation.c", "C", 0, 0, 201, 0, 0, 0, 0, 0, 14, 33, 248
"m:\test\ESDBox_IPGUI\core\ui\animation\ipgui_animation.h", "C++", 0, 0, 0, 0, 27, 0, 0, 0, 6, 12, 45
"m:\test\ESDBox_IPGUI\core\ui\test\test_dirty_rect..c", "C", 0, 0, -260, 0, 0, 0, 0, 0, -134, -47, -441
"m:\test\ESDBox_IPGUI\core\ui\test\test_widget_tree.c", "C", 0, 0, -89, 0, 0, 0, 0, 0, -1, -17, -107
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget.c", "C", 0, 0, -215, 0, 0, 0, 0, 0, -85, -34, -334
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget.h", "C", 0, 0, -57, 0, 0, 0, 0, 0, 31, -8, -34
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_draw.c", "C", 0, 0, -1, 0, 0, 0, 0, 0, -5, -2, -8
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_draw.h", "C++", 0, 0, 0, 0, -5, 0, 0, 0, 0, -4, -9
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_evt.h", "C++", 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -2
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_geometry.c", "C", 0, 0, -3, 0, 0, 0, 0, 0, 0, -2, -5
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_render.c", "C", 0, 0, -29, 0, 0, 0, 0, 0, -17, -15, -61
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_render.h", "C++", 0, 0, 0, 0, -5, 0, 0, 0, 0, -2, -7
"m:\test\ESDBox_IPGUI\core\ui\widget_manager\ipgui_widget_temp.c", "C", 0, 0, -10, 0, 0, 0, 0, 0, -8, -5, -23
